movieId,title,genres
1,MOVIE #1,Adventure|Animation|Children|Comedy|Fantasy
2,MOVIE #2,Adventure|Children|Fantasy
3,MOVIE #3,Comedy|Romance
4,MOVIE #4,Comedy|Drama|Romance
5,MOVIE #5,Comedy
6,MOVIE #6,Action|Crime|Thriller
7,MOVIE #7,Comedy|Romance
8,MOVIE #8,Adventure|Children
9,MOVIE #9,Action
10,MOVIE #10,Action|Adventure|Thriller
11,MOVIE #11,Comedy|Drama|Romance
12,MOVIE #12,Comedy|Horror
13,MOVIE #13,Adventure|Animation|Children
14,MOVIE #14,Drama
15,MOVIE #15,Action|Adventure|Romance
16,MOVIE #16,Crime|Drama
17,MOVIE #17,Drama|Romance
18,MOVIE #18,Comedy
19,MOVIE #19,Comedy
20,MOVIE #20,Action|Comedy|Crime|Drama|Thriller
21,MOVIE #21,Comedy|Crime|Thriller
22,MOVIE #22,Crime|Drama|Horror|Mystery|Thriller
23,MOVIE #23,Action|Crime|Thriller
24,MOVIE #24,Drama|Sci-Fi
25,MOVIE #25,Drama|Romance
26,MOVIE #26,Drama
27,MOVIE #27,Children|Drama
28,MOVIE #28,Drama|Romance
29,MOVIE #29,Adventure|Drama|Fantasy|Mystery|Sci-Fi
30,MOVIE #30,Crime|Drama
31,MOVIE #31,Drama
32,MOVIE #32,Mystery|Sci-Fi|Thriller
34,MOVIE #34,Children|Drama
36,MOVIE #36,Crime|Drama
38,MOVIE #38,Children|Comedy
39,MOVIE #39,Comedy|Romance
40,MOVIE #40,Drama
41,MOVIE #41,Drama|War
42,MOVIE #42,Action|Crime|Drama
43,MOVIE #43,Drama
44,MOVIE #44,Action|Adventure|Fantasy
45,MOVIE #45,Comedy|Drama|Thriller
46,MOVIE #46,Drama|Romance
47,MOVIE #47,Mystery|Thriller
48,MOVIE #48,Animation|Children|Drama|Musical|Romance
49,MOVIE #49,Drama|Romance
50,MOVIE #50,Crime|Mystery|Thriller
52,MOVIE #52,Comedy|Drama|Romance
53,MOVIE #53,Adventure|Drama
54,MOVIE #54,Children|Comedy
55,MOVIE #55,Drama
57,MOVIE #57,Drama
58,MOVIE #58,Comedy|Drama|Romance
60,MOVIE #60,Adventure|Children|Fantasy
61,MOVIE #61,Drama|Thriller
62,MOVIE #62,Drama
63,MOVIE #63,Comedy|Crime
64,MOVIE #64,Comedy|Romance
65,MOVIE #65,Comedy
66,MOVIE #66,Action|Sci-Fi|Thriller
68,MOVIE #68,Comedy|Romance
69,MOVIE #69,Comedy
70,MOVIE #70,Action|Comedy|Horror|Thriller
71,MOVIE #71,Action
72,MOVIE #72,Comedy|Drama
73,MOVIE #73,Drama|War
74,MOVIE #74,Drama|Romance
75,MOVIE #75,Comedy|Drama
76,MOVIE #76,Action|Sci-Fi|Thriller
77,MOVIE #77,Documentary
78,MOVIE #78,Action|Crime|Drama|Thriller
79,MOVIE #79,Drama|Thriller
80,MOVIE #80,Children|Drama
81,MOVIE #81,Crime|Drama|Romance
82,MOVIE #82,Comedy|Drama
83,MOVIE #83,Drama|Romance
85,MOVIE #85,Drama|Romance
86,MOVIE #86,Action|Adventure|Drama
87,MOVIE #87,Children|Comedy
88,MOVIE #88,Comedy
89,MOVIE #89,Action|Thriller
92,MOVIE #92,Drama|Horror|Thriller
93,MOVIE #93,Comedy|Horror|Romance
94,MOVIE #94,Comedy|Drama|Romance
95,MOVIE #95,Action|Adventure|Thriller
96,MOVIE #96,Comedy|Drama
97,MOVIE #97,Crime|Drama
99,MOVIE #99,Documentary
100,MOVIE #100,Drama|Thriller
101,MOVIE #101,Adventure|Comedy|Crime|Romance
102,MOVIE #102,Comedy
103,MOVIE #103,Mystery|Sci-Fi|Thriller
104,MOVIE #104,Comedy
105,MOVIE #105,Drama|Romance
106,MOVIE #106,Comedy|Drama
107,MOVIE #107,Adventure|Children|Comedy|Musical
108,MOVIE #108,Documentary
110,MOVIE #110,Action|Drama|War
111,MOVIE #111,Crime|Drama|Thriller
112,MOVIE #112,Action|Adventure|Comedy|Crime
113,MOVIE #113,Drama|Mystery
116,MOVIE #116,Documentary
117,MOVIE #117,Crime|Drama
118,MOVIE #118,Comedy|Romance
119,MOVIE #119,Comedy
121,MOVIE #121,Drama
122,MOVIE #122,Comedy|Romance
123,MOVIE #123,Drama|Mystery|Romance
125,MOVIE #125,Comedy
126,MOVIE #126,Adventure|Children|Fantasy
128,MOVIE #128,Documentary
129,MOVIE #129,Comedy|Romance
132,MOVIE #132,Thriller
135,MOVIE #135,Comedy
137,MOVIE #137,Documentary
140,MOVIE #140,Drama|Romance
141,MOVIE #141,Comedy
144,MOVIE #144,Comedy
145,MOVIE #145,Action|Comedy|Crime|Drama|Thriller
146,MOVIE #146,Adventure|Children
147,MOVIE #147,Drama
148,MOVIE #148,Drama
149,MOVIE #149,Crime|Drama|Thriller
150,MOVIE #150,Adventure|Drama|IMAX
151,MOVIE #151,Action|Drama|Romance|War
152,MOVIE #152,Drama|Horror
153,MOVIE #153,Action|Adventure|Comedy|Crime
154,MOVIE #154,Drama
155,MOVIE #155,Adventure|Drama|War
156,MOVIE #156,Comedy|Drama
157,MOVIE #157,Comedy|War
158,MOVIE #158,Adventure|Children
159,MOVIE #159,Crime|Drama|Mystery
160,MOVIE #160,Action|Adventure|Mystery|Sci-Fi
161,MOVIE #161,Drama|Thriller|War
162,MOVIE #162,Documentary
163,MOVIE #163,Action|Romance|Western
164,MOVIE #164,Crime|Film-Noir|Mystery|Thriller
165,MOVIE #165,Action|Crime|Thriller
166,MOVIE #166,Comedy|Crime|Drama
168,MOVIE #168,Action|Drama|Romance
169,MOVIE #169,Adventure|Children|Drama
170,MOVIE #170,Action|Adventure|Crime|Thriller
171,MOVIE #171,Comedy|Drama
172,MOVIE #172,Action|Sci-Fi|Thriller
